Rowid,AS_LOCATIONS2011,X,Y,KD490_4KM_A20111,KD490_4KM_A201_1,KD490_4KM_A201_2,KD490_4KM_A201_3,KD490_4KM_A201_4,KD490_4KM_A201_5,KD490_4KM_A201_6,KD490_4KM_A201_7
26,7995464,-88.00198696,30.07539237,0,0,0,0,0,0,0,0
27,7995464,-88.34748515,30.0672181,0,0,0,0,0,0,0,0
28,7995464,-88.37036504,30.04875759,0,0,0,0,0,0,0,0
29,7995464,-88.34741602,30.04126811,0,0,0,0,0,0,0,0
30,7995464,-88.35161655,30.03537945,0,0,0,0,0,0,0,0
31,7995464,-88.34761667,30.02316667,0,0,0,0,0,0,0,0
32,7995464,-88.35829892,29.99877487,0,0.38955,0.198650002,0.316890001,0,0,0.165319994,0
33,7995464,-88.00078333,29.99236667,0,0.456849992,0.186220005,0.26214999,0,0,0,0
34,7995464,-88.35022953,29.98503333,0,0.38955,0.198650002,0.316890001,0,0,0.165319994,0
35,7995464,-88.36059141,29.97438429,0,0.38955,0.198650002,0.316890001,0,0,0.165319994,0
36,7995464,-88.38421546,29.96297199,0,0.308400005,0.205819994,0.368220001,0,0,0.152469993,0
37,7995464,-88.00104979,29.92486819,0,0.329070002,0.195490003,0.284399986,0,0,0,0
38,7995464,-88.00295324,29.91682152,0,0.329070002,0.195490003,0.284399986,0,0,0,0
39,7995464,-87.99951675,29.89119185,0,0,0,0,0,0,0,0
40,7995464,-87.99707731,29.88593434,0,0,0,0,0,0,0,0
41,7995464,-88.3157984,29.87316107,0,0.220909998,0.157890007,0.233700007,0,0,0.479000002,0
42,7995464,-87.99650915,29.85502181,0,0,0,0,0,0,0,0
43,7995464,-88.31176481,29.84782833,0,0.220909998,0.157890007,0.233700007,0,0,0.479000002,0
44,7995464,-88.0005904,29.84723145,0,0.257569999,0.155959994,0.211789995,0,0,0,0
45,7995464,-88.30768384,29.83081521,0,0.190200001,0.166099995,0.27414,0,0,0.416599989,0
46,7995464,-88.00245187,29.80661667,0,0.231480002,0.143639997,0.234280005,0,0,0,0
47,7995464,-88.29848133,29.80191384,0,0.190200001,0.166099995,0.27414,0,0,0.416599989,0
48,7995464,-88.29344754,29.77418333,0,0.216470003,0.182730004,0.331120014,0,0,0.421799988,0
49,7995464,-91.10316667,29.77203333,0,0,0,0,0,0,0,0
50,7995464,-88.29826588,29.76746601,0,0.216470003,0.182730004,0.331120014,0,0,0.421799988,0
51,7995464,-88.30594133,29.76730861,0,0.216470003,0.182730004,0.331120014,0,0,0.421799988,0
52,7995464,-88.30594133,29.76730861,0,0.216470003,0.182730004,0.331120014,0,0,0.421799988,0
53,7995464,-93.39941667,29.76198333,0,0,0,0,0,0,0,0
54,7995464,-93.12013333,29.7579,0,0,0,0,0,0,0,0
55,7995464,-88.29421751,29.74973467,0,0,0.311500013,0.383879989,0,0,0.431800008,0
56,7995464,-88.00271673,29.73509887,0,0.093220003,0.189400002,0.681119978,0,0,0,0
57,7995464,-93.64381667,29.73471667,0,0,0,0,0,0,0,0
58,7995464,-93.71053333,29.73416667,0,0,0,0,0,0,0,0
59,7995464,-93.63566517,29.73146137,0,0,0,0,0,0,0,0
60,7995464,-93.78409931,29.70202828,0,0,0,0,2.35710001,0,0,0
61,7995464,-93.81386667,29.69456667,0,0,0,0,2.35710001,0,0,0
62,7995464,-88.28873634,29.69336721,0,0,0.614329994,0.538129985,0,0,0,0
63,7995464,-92.90925,29.68441667,0,0,0,0,0,0,0,0
64,7995464,-93.05706667,29.68203333,0,0,0,0,0,0,1.672600031,0
65,7995464,-93.05706667,29.68203333,0,0,0,0,0,0,1.672600031,0
66,7995464,-92.90095,29.6797,0,0,0,0,0,0,0,0
67,7995464,-92.8969,29.675,0,0,0,0,0,0,0,0
68,7995464,-93.85176667,29.67121667,0,0,0,0,0,0,0,0
69,7995464,-93.85074237,29.67083307,0,0,0,0,0,0,0,0
70,7995464,-88.28118333,29.66801667,0,0,0.614329994,0.538129985,0,0,0,0
71,7995464,-92.87278333,29.66583333,0,0,0,0,0,0,0,0
72,7995464,-92.88426185,29.66327631,0,0,0,0,0,0,0,0
73,7995464,-93.85259482,29.65673313,0,0,0,0,2.755779982,4.081850052,3.859230042,0
74,7995464,-93.11951667,29.6531,0,0,0,0,0,0,1.317770004,0
75,7995464,-92.89643748,29.65282345,0,0,0,0,0,0,0,0
76,7995464,-92.87077685,29.65061227,0,0,0,0,0,0,0,0
77,7995464,-93.62475339,29.64981104,0,0,0,0,6.400000095,6.400000095,0,6.384399891
78,7995464,-91.57223333,29.63183333,0,0,0,0,0,0,0,0
79,7995464,-92.83865,29.62763333,0,0,0,0,0,0,0,0
80,7995464,-93.64875666,29.61968241,0,0,0,0,2.004650116,5.676919937,0,4.688839912
81,7995464,-91.615,29.61813333,0,0,0,0,0,0,0,0
82,7995464,-93.39896667,29.61753333,0,0,0,0,4.829249859,1.078480005,5.746630192,2.791179895
83,7995464,-92.90483333,29.6121,0,0,0,0,0,0,1.961730003,0
84,7995464,-93.64435334,29.60980978,0,0,0,0,2.004650116,5.676919937,0,4.688839912
85,7995464,-93.13486667,29.59948333,0,0,0,0,0,0,0.837339997,0.734399974
86,7995464,-93.39913333,29.5945,0,0,0,0,4.829249859,1.078480005,5.746630192,2.791179895
87,7995464,-92.7851,29.59051667,0,0,0,0,0,0,0,0
88,7995464,-93.85798272,29.58786667,0,0,0,0,2.297399998,4.546380043,2.644490004,0
89,7995464,-92.90676667,29.58628333,0,0,0,0,0,0,1.961730003,0
90,7995464,-92.9106231,29.58136236,0,0,0,0,0,0.729600012,0.870079994,0.3583
91,7995464,-92.14313333,29.5771,0,0,0,0,0,0,0,0
92,7995464,-92.14791667,29.57703333,0,0,0,0,0,0,0,0
93,7995464,-92.90935574,29.57561339,0,0,0,0,0,0.729600012,0.870079994,0.3583
94,7995464,-92.5749,29.57551667,0,0,0,0,0,0,0,0
95,7995464,-92.91025529,29.57409753,0,0,0,0,0,0.729600012,0.870079994,0.3583
96,7995464,-91.64011667,29.57325,0,0,0,0,0,0,0,0
97,7995464,-92.55830077,29.57144729,0,0,0,0,0,0,0,0
98,7995464,-92.60013333,29.57108333,0,0,0,0,0,0,0,0
99,7995464,-90.79044444,29.57052222,0,0,0,0,0,0,0,0
100,7995464,-93.85598333,29.5694,0,0,0,0,3.795949936,1.733299971,1.532840014,0
101,7995464,-90.79552778,29.56710556,0,0,0,0,0,0,0,0
102,7995464,-92.90685,29.5654,0,0,0,0,0,0.729600012,0.870079994,0.3583
103,7995464,-94.10966667,29.5653,0,0,0,0,1.408820033,1.392910004,1.866240025,0
104,7995464,-88.26363333,29.56455,0,0,0,0.954959989,0,0,0.382099986,0
105,7995464,-92.91063333,29.55875,0,0,0,0,0,0.729600012,0.870079994,0.3583
106,7995464,-92.15018333,29.5577,0,0,0,0,0,0,0,0
107,7995464,-88.26211527,29.55542763,0,0,0,0.954959989,0,0,0.382099986,0
108,7995464,-92.89291282,29.55458005,0,0,0,0,0,0.729600012,0.870079994,0.3583
109,7995464,-93.14315,29.5542,0,0,0,0,0.798950016,0.954360008,0.867420018,0.699050009
110,7995464,-93.85536667,29.55151667,0,0,0,0,3.795949936,1.733299971,1.532840014,0
111,7995464,-88.26556904,29.54656707,0,0,0,0.954959989,0,0,0.382099986,0
112,7995464,-92.91180538,29.54514724,0,0,0,0,0,0.729600012,0.870079994,0.3583
113,7995464,-92.73353333,29.54476667,0,0,0,0,0,0,2.707999945,0
114,7995464,-91.64041667,29.54318333,0,0,0,0,0,0,0,0
115,7995464,-92.2949,29.52955,0,0,0,0,0,0,0,0
116,7995464,-92.91485703,29.52837469,0,0,0,0,2.442329884,0.679250002,0.341419995,0.213080004
117,7995464,-92.91571073,29.52801342,0,0,0,0,2.442329884,0.679250002,0.341419995,0.213080004
118,7995464,-92.6092,29.52573333,0,0,0,0,0,0,2.588959932,1.309720039
119,7995464,-93.639,29.5237,0,0,0,0,1.517120004,5.292459965,6.400000095,2.763200045
120,7995464,-93.639,29.5237,0,0,0,0,1.517120004,5.292459965,6.400000095,2.763200045
121,7995464,-93.64416667,29.51948333,0,0,0,0,1.517120004,5.292459965,6.400000095,2.763200045
122,7995464,-92.91439307,29.51674067,0,0,0,0,2.442329884,0.679250002,0.341419995,0.213080004
123,7995464,-87.99526923,29.5162712,0,0,0,0,0,0,0,0
124,7995464,-92.30616667,29.5122,0,0,0,0,0,0,0,0
125,7995464,-92.61086667,29.51165,0,0,0,0,0,0,2.588959932,1.309720039
126,7995464,-92.17213333,29.51156667,0,0,0,0,0,0,0,0
127,7995464,-92.27428333,29.51125,0,0,0,0,0,0,0,0
128,7995464,-92.31431667,29.5088,0,0,0,0,0,0,0,0
129,7995464,-93.8545,29.50865,0,0,0,0,3.861200094,1.874670029,1.179469943,0
130,7995464,-93.1383397,29.50726753,0,0,0,0,1.127249956,0.415600002,0.527170002,0.435739994
131,7995464,-92.68808333,29.5071,0,0,0,0,0,0,1.179769993,0.932940006
132,7995464,-91.36755,29.50461667,0,0,0,0,0,0,0,0
133,7995464,-92.16988333,29.49835,0,0,0,0,0,0,0,0
134,7995464,-92.61661667,29.49691667,0,0,0,0,0,0,1.44825995,0.708800018
135,7995464,-92.91887732,29.4941918,0,0,0,0,2.10977006,0.570249975,0.29934001,0.169740006
136,7995464,-92.17046667,29.49226667,0,0,0,0,0,0,0,0
137,7995464,-92.1736272,29.48920363,0,0,0,0,0,0,0,0
138,7995464,-92.32765045,29.4819597,0,0,0,0,0,0,0,0
139,7995464,-91.49366667,29.4814,0,0,0,0,0,0,0,0
140,7995464,-92.62274452,29.48065118,0,0,0,0,0,0,1.44825995,0.708800018
141,7995464,-91.46838333,29.47736667,0,0,0,0,0,0,0,0
142,7995464,-92.34966347,29.4767992,0,0,0,0,0,0,0,0
143,7995464,-92.61052375,29.47613025,0,0,0,0,0,0,1.44825995,0.708800018
144,7995464,-87.9965,29.47118333,0,0,0,0,0,0,0,0
145,7995464,-91.6289,29.47045,0,0,0,0,0,0,0,0
146,7995464,-88.80393582,29.47029848,0,1.506459951,0,0.814710021,0,0,0,0
147,7995464,-92.32785,29.47028333,0,0,0,0,0,0,0,0
148,7995464,-93.41702319,29.46993333,0,0,0,0,4.04734993,1.660549998,1.078639984,1.663400054
149,7995464,-88.79612058,29.46814519,0,1.506459951,0,0.814710021,0,0,0,0
150,7995464,-93.4135962,29.46731667,0,0,0,0,2.783669949,0.839720011,0.853500009,1.39052999
151,7995464,-88.79228714,29.46633399,0,1.506459951,0,0.814710021,0,0,0,0
152,7995464,-88.87001667,29.46616667,0,3.60739994,0,1.115450025,0,0,0,0
153,7995464,-88.7834474,29.46556091,0,1.084710002,0,0.66407001,0,0,0,0
154,7995464,-91.79695,29.4646,0,0,0,0,0,0,0,0
155,7995464,-88.75784344,29.46331155,0,1.084710002,0,0.66407001,0,0,0,0
156,7995464,-88.6862788,29.46158077,0,0,0,0.696060002,0,0,0,0
157,7995464,-88.74067646,29.46154626,0,0.670639992,0,0.694469988,0,0,0,0
158,7995464,-92.62415,29.4612,0,0,0,0,0,0,1.44825995,0.708800018
159,7995464,-88.67620087,29.4568897,0,0.74180001,0,0.868690014,0,0,0,0
160,7995464,-92.34561667,29.45646667,0,0,0,0,0,0,0,0.744199991
161,7995464,-91.84448333,29.45581667,0,0,0,0,0,0,0,0
162,7995464,-88.66385047,29.45551493,0,1.070000052,0,0.950730026,0,0,0,0
163,7995464,-88.65567206,29.45551417,0,1.070000052,0,0.950730026,0,0,0,0
164,7995464,-92.34923128,29.45508377,0,0,0,0,0,0,0,0.744199991
165,7995464,-93.41883474,29.45406667,0,0,0,0,0.89635998,0.659889996,0.719110012,1.139099956
166,7995464,-92.43470817,29.45220281,0,0,0,0,2.914599895,0,2.101919889,0.829900026
167,7995464,-92.91612097,29.45213333,0,0,0,0,2.695050001,0,0.278869987,0.141829997
168,7995464,-92.92034627,29.44437302,0,0,0,0,1.572970033,0.514400005,0.251439989,0.155860007
169,7995464,-92.59065643,29.43878832,0,0.399879992,0,0,1.257830024,0,0.79181999,0.370380014
170,7995464,-93.40673333,29.4365,0,0,0,0,0.89635998,0.659889996,0.719110012,1.139099956
171,7995464,-93.85327762,29.43643096,0,0,0,0,0.577069998,0.857620001,1.602200031,0
172,7995464,-88.45963333,29.43606667,0,0,0.591199994,1.151749969,0,0,0,0
173,7995464,-88.41218122,29.43466294,0,0,0,1.197000027,0,0,0,0
174,7995464,-93.6418,29.43423333,0,0,0,0,2.322000027,2.99097991,4.680490017,2.562799931
175,7995464,-88.42862191,29.43421878,0,0,0,0,0,0,0,0
176,7995464,-93.41936655,29.43372055,0,0,0,0,0.89635998,0.659889996,0.719110012,1.139099956
177,7995464,-93.42152251,29.43362027,0,0,0,0,0.89635998,0.659889996,0.719110012,1.139099956
178,7995464,-88.39456474,29.43353948,0,0,0,1.197000027,0,0,0,0
179,7995464,-88.88689034,29.43337681,0,2.328480005,0,0,0,0,0,0
180,7995464,-88.40239159,29.43203758,0,0,0,1.197000027,0,0,0,0
181,7995464,-94.11296667,29.42856667,0,0,0,0,1.168779969,0.954739988,1.513769984,0
182,7995464,-88.4027032,29.42803456,0,0,0,1.197000027,0,0,0,0
183,7995464,-93.42847125,29.42745327,0,0,0,0,0.89635998,0.659889996,0.719110012,1.139099956
184,7995464,-88.24015,29.42715,0,0,0,0.918649971,0,0,0.373769999,0
185,7995464,-93.40412041,29.42694246,0,0,0,0,0.89635998,0.659889996,0.719110012,1.139099956
186,7995464,-88.38642811,29.42665,0,0,0,1.197000027,0,0,0,0
187,7995464,-89.58300556,29.42561111,0,0,0,2.301599979,0,0,0,0
188,7995464,-92.57120249,29.42411771,0,0.457599998,0,0,1.595170021,0,1.190430045,0.583880007
189,7995464,-88.30336667,29.42381667,0,0,0,0.854759991,0,0,0.397199988,0
190,7995464,-92.57365158,29.42326886,0,0.457599998,0,0,1.595170021,0,1.190430045,0.583880007
191,7995464,-88.24138333,29.41961667,0,0,0,0.918649971,0,0,0.373769999,0
192,7995464,-92.63955312,29.41316636,0,0,0,0,0,0,0.343950003,0.174449995
193,7995464,-92.36111712,29.41293862,0,0.39726001,0,0,3.805720091,0,4.110770226,0.563679993
194,7995464,-88.88250893,29.41257585,0,1.87827003,0,0,0,0,0,0
195,7995464,-89.59881111,29.41132222,0,0,0,0,0,0,0,0
196,7995464,-92.55671667,29.4098,0,0.404830009,0,0,1.273139954,0,0.663919985,0.291570008
197,7995464,-92.91422803,29.40842224,0,0,0,0,1.545969963,0.528129995,0.240909994,0.158649996
198,7995464,-93.13912568,29.40772245,0,0,0,0,0.667129993,0.208240002,0.317530006,0.284260005
199,7995464,-92.91977106,29.40462889,0,0,0,0,1.53342998,0.424299985,0.234050006,0.170369998
200,7995464,-90.35611667,29.40436667,0,0,0,0,0,0,0,0
201,7995464,-93.4027,29.40195,0,0,0,0,0.624750018,0.312029988,0.363009989,0.90188998
202,7995464,-93.64276667,29.40085,0,0,0,0,1.439710021,1.280779958,6.400000095,0
203,7995464,-92.02931667,29.39991667,0,0,0,0,0,0,6.400000095,0
204,7995464,-92.38669014,29.39786731,0,0.39726001,0,0,3.805720091,0,4.110770226,0.563679993
205,7995464,-91.55646667,29.39761667,0,0,0,0,0,0,0,0
206,7995464,-93.64285,29.39756667,0,0,0,0,1.439710021,1.280779958,6.400000095,0
207,7995464,-92.34321679,29.39752609,0,0.39726001,0,0,3.805720091,0,4.110770226,0.563679993
208,7995464,-92.44414588,29.39240314,0,0.404399991,0,0,4.850699902,0,1.295400023,0.554949999
209,7995464,-92.64561836,29.39121711,0,0,0,0,0,0,0.343950003,0.174449995
210,7995464,-93.62752186,29.38504257,0,0,0,0,1.439710021,1.280779958,6.400000095,0
211,7995464,-88.86563785,29.38429427,0,1.587120056,0,0,0,0,0,0
212,7995464,-92.77357152,29.38271343,0,0,0,0,0,0,0.294270009,0.154449999
213,7995464,-92.94012215,29.38256831,0,0,0,0,1.53342998,0.424299985,0.234050006,0.170369998
214,7995464,-92.71584901,29.38003548,0,0,0,0,0,0,0.302100003,0.16358
215,7995464,-93.67427496,29.37594916,0,0,0,0,1.408720016,1.337550044,0,0
216,7995464,-92.52154348,29.37556415,0,0.420639992,0,0,1.461249948,0,0.745119989,0.3477
217,7995464,-92.57045,29.37538333,0,0.404830009,0,0,1.273139954,0,0.663919985,0.291570008
218,7995464,-92.26771667,29.37175,0,0.412310004,0,0,0,0,0,0.847370028
219,7995464,-92.50883479,29.37145151,0,0.394069999,0,0,1.488950014,0,0.756630003,0.217869997
220,7995464,-93.66209797,29.36950915,0,0,0,0,1.115829945,0.491259992,1.016759992,1.702000022
221,7995464,-93.64742,29.36720978,0,0,0,0,1.115829945,0.491259992,1.016759992,1.702000022
222,7995464,-93.64366667,29.36415,0,0,0,0,1.115829945,0.491259992,1.016759992,1.702000022
223,7995464,-93.82279171,29.36379916,0,0,0,0,0.634109974,0.71092999,0.92148,0
224,7995464,-92.50219076,29.36237404,0,0.394069999,0,0,1.488950014,0,0.756630003,0.217869997
225,7995464,-92.15915742,29.36196971,0,0,0,0,0,0,0,6.400000095
226,7995464,-92.96282012,29.36150668,0,0,0,0,1.364220023,0.480529994,0.235180005,0.180360004
227,7995464,-91.4152008,29.35978566,0,0,0,0,0,0,0,0
228,7995464,-92.49117721,29.35959585,0,0.38369,0,0,3.337630033,0,0.996179998,0.289039999
229,7995464,-92.18758333,29.3547,0,0,0,0,0,0,0,2.545870066
230,7995464,-94.10915,29.35353333,0,0,0,0,0.373169988,0.28670001,0.465750009,0
231,7995464,-92.36595223,29.35005177,0,0.413450003,0,0,0,0,0,0.669030011
232,7995464,-88.89825626,29.34774595,0,1.296839952,0.461400002,0,0,0,0,0
233,7995464,-92.48055013,29.34766466,0,0.38369,0,0,3.337630033,0,0.996179998,0.289039999
234,7995464,-93.67502496,29.34671582,0,0,0,0,1.413830042,0.986519992,1.117300034,0
235,7995464,-92.65476667,29.34046667,0,0,0,0,0.834999979,0,0.305620015,0.173769996
236,7995464,-92.92661667,29.33883333,0,0,0,0,1.364220023,0.480529994,0.235180005,0.180360004
237,7995464,-93.69093613,29.33675733,0,0,0,0,1.413830042,0.986519992,1.117300034,0
238,7995464,-93.66758963,29.33649501,0,0,0,0,1.413830042,0.986519992,1.117300034,0
239,7995464,-93.66291464,29.33644249,0,0,0,0,1.115829945,0.491259992,1.016759992,1.702000022
240,7995464,-92.39605253,29.33638221,0,0,0,0,1.645529985,0,4.770510197,0.485689998
241,7995464,-93.85325,29.33188333,0,0,0,0,0.365999997,0.286440015,0.254170001,0
242,7995464,-92.66013333,29.33186667,0,0,0,0,0.950670004,0,0.51315999,0.169200003
243,7995464,-92.26172178,29.330869,0,0.394199997,0,0,0,0,0,1.113620043
244,7995464,-91.42166667,29.33046667,0,0,0,0,0,0,0,0
245,7995464,-91.37131667,29.32966667,0,0,0,0,0,0,0,0
246,7995464,-92.45316667,29.32715,0,0.467130005,0,0,3.552429914,0,1.023270011,0.342889994
247,7995464,-91.78691667,29.32658333,0,0,0,0,0,1.172160029,0,0
248,7995464,-92.47886148,29.32576017,0,0,0,0,1.726019979,0,0.835600019,0.217449993
249,7995464,-92.35726696,29.32113435,0,0,0,0,0,0,5.997950077,0.610660017
250,7995464,-92.93034891,29.31927022,0,0,0,0,1.305349946,1.123049974,0,0.229399994
251,7995464,-93.40138127,29.3174538,0,0,0,0,0.585659981,0.336389989,0.261979997,0.481229991
252,7995464,-92.24071667,29.31345,0,0.394199997,0,0,0,0,0,1.113620043
253,7995464,-93.40516405,29.31342141,0,0,0,0,0.585659981,0.336389989,0.261979997,0.481229991
254,7995464,-92.43368333,29.31255,0,0.467130005,0,0,3.552429914,0,1.023270011,0.342889994
255,7995464,-91.79977365,29.31049516,0,0,0,0,0,1.259369969,0,0
256,7995464,-93.85295,29.30706667,0,0,0,0,0.365999997,0.286440015,0.254170001,0
257,7995464,-93.64906222,29.30646035,0,0,0,0,0.923600018,0.667800009,0.643620014,1.369750023
258,7995464,-92.93452241,29.30631979,0,0,0,0,1.305349946,1.123049974,0,0.229399994
259,7995464,-91.62508027,29.29871297,0,0,0,0,0,0,6.400000095,0
260,7995464,-92.37262448,29.29777239,0,0,0,0,0,0,5.997950077,0.610660017
261,7995464,-91.44686023,29.29625978,0,0,0,0,0,0,0,0
262,7995464,-92.23803333,29.29518333,0,0.394199997,0,0,0,0,0,1.113620043
263,7995464,-92.40085794,29.29493034,0,0.395200014,0,0,1.776139975,0,1.757769942,0.470380008
264,7995464,-92.2521,29.29441667,0,0.394199997,0,0,0,0,0,1.113620043
265,7995464,-93.6675063,29.29426168,0,0,0,0,0.819519997,0.75721997,0.54539001,1.345870018
266,7995464,-92.25681667,29.29253333,0,0.394199997,0,0,0,0,0,1.113620043
267,7995464,-88.90599966,29.29138371,0,0,0.612119973,0,0,0,0,0
268,7995464,-92.26013333,29.2909,0,0.429650009,0,0,0,0,0,2.15512991
269,7995464,-93.40697502,29.29049703,0,0,0,0,0.537549973,0.364600003,0.239419997,0.346740007
270,7995464,-92.91881465,29.28968311,0,0,0,0,0.967429996,0,0.225580007,0.35837999
271,7995464,-92.26283333,29.28945,0,0.429650009,0,0,0,0,0,2.15512991
272,7995464,-93.1462,29.28906667,0,0,0,0,0.44916001,0.390870005,0.251379997,0.172399998
273,7995464,-92.38691762,29.28841619,0,0.377730012,0,0,2.381000042,0,1.75,0.586470008
274,7995464,-92.92385785,29.28694057,0,0,0,0,0.967429996,0,0.225580007,0.35837999
275,7995464,-92.26856667,29.28551667,0,0.429650009,0,0,0,0,0,2.15512991
276,7995464,-89.67787258,29.28479797,0,0.944299996,0,0,0,0,0,0
277,7995464,-92.27098333,29.28341667,0,0.429650009,0,0,0,0,0,2.15512991
278,7995464,-92.24074857,29.28304743,0,0.468679994,0,0,0,0,0,4.702000141
279,7995464,-92.40125288,29.28275497,0,0.377730012,0,0,2.381000042,0,1.75,0.586470008
280,7995464,-91.81891667,29.2807,0,0,0,0,3.808599949,2.080199957,1.371369958,0
281,7995464,-93.69141947,29.280624,0,0,0,0,0.606999993,0.601769984,0.567510009,1.328400016
282,7995464,-92.27431667,29.28048333,0,0.429650009,0,0,0,0,0,2.15512991
283,7995464,-92.23705076,29.28046594,0,0.468679994,0,0,0,0,0,4.702000141
284,7995464,-93.67585829,29.28044916,0,0,0,0,0.606999993,0.601769984,0.567510009,1.328400016
285,7995464,-93.65804697,29.28024903,0,0,0,0,0.496369988,0.419860005,0.523339987,1.292860031
286,7995464,-92.21371023,29.27871598,0,0.468679994,0,0,0,0,0,4.702000141
287,7995464,-92.92531667,29.27783333,0,0,0,0,0.967429996,0,0.225580007,0.35837999
288,7995464,-89.79755,29.27656667,0,3.075400114,0,0,0,0,0,0.940999985
289,7995464,-93.41590472,29.27622653,0,0,0,0,0.537549973,0.364600003,0.239419997,0.346740007
290,7995464,-92.92796667,29.27226667,0,0,0,0,0.967429996,0,0.225580007,0.35837999
291,7995464,-92.24465604,29.27183812,0,0.468679994,0,0,0,0,0,4.702000141
292,7995464,-92.41109409,29.27028779,0,0.377730012,0,0,2.381000042,0,1.75,0.586470008
293,7995464,-92.38955567,29.27017635,0,0.377730012,0,0,2.381000042,0,1.75,0.586470008
294,7995464,-89.6372,29.2695,0,0,0,0,0,0,0,0
295,7995464,-92.67261074,29.26920806,0,0,0,0,1.020529985,0,0.316579998,0.162400007
296,7995464,-93.40995629,29.26884807,0,0,0,0,0.537549973,0.364600003,0.239419997,0.346740007
297,7995464,-92.33713397,29.2683059,0,0.486900002,0,0,0,0,6.191309929,0.647419989
298,7995464,-92.28141667,29.26818333,0,0.429650009,0,0,0,0,0,2.15512991
299,7995464,-89.65623333,29.26781667,0,0,0,0,0,0,0,0
300,7995464,-92.28537347,29.26736731,0,0.429650009,0,0,0,0,0,2.15512991
301,7995464,-89.82163333,29.2662,0,3.075400114,0,0,0,0,0,0.940999985
302,7995464,-92.67482749,29.26513756,0,0,0,0,1.020529985,0,0.316579998,0.162400007
303,7995464,-92.3717179,29.2644053,0,0.486900002,0,0,0,0,6.191309929,0.647419989
304,7995464,-92.91238869,29.26363896,0,0,0,0,0.980279982,0,0.285420001,0.196720004
305,7995464,-88.9015,29.26341667,0,0,0.612119973,0,0,0,0,0
306,7995464,-93.64475,29.26103333,0,0,0,0,0.496369988,0.419860005,0.523339987,1.292860031
307,7995464,-89.64300927,29.25990027,0,0,0,0,0,0,0,0
308,7995464,-93.40788333,29.25968333,0,0,0,0,0.537549973,0.364600003,0.239419997,0.346740007
309,7995464,-92.41690191,29.25956721,0,0.439999998,0,0,3.05817008,0,1.058920026,0.449110001
310,7995464,-91.64586667,29.25908333,0,0,0,0,0,0,0,2.144129992
311,7995464,-92.23707004,29.2589173,0,0.468679994,0,0,0,0,0,4.702000141
312,7995464,-92.25126259,29.25820346,0,0.429650009,0,0,0,0,0,2.15512991
313,7995464,-92.93566667,29.25768333,0,0,0,0,0.967429996,0,0.225580007,0.35837999
314,7995464,-94.10941117,29.25676667,0,0,0,0,0.308780015,0.195099995,0.219620004,0
315,7995464,-91.30473333,29.25505,0,0,0,0,0,0,0,0
316,7995464,-88.88006386,29.25411606,0,0,0.612119973,0,0,0,0,0
317,7995464,-92.33606407,29.25287024,0,0.486900002,0,0,0,0,6.191309929,0.647419989
318,7995464,-92.40331679,29.25237609,0,0.377730012,0,0,2.381000042,0,1.75,0.586470008
319,7995464,-91.63288699,29.25186509,0,0,0,0,0,0,0,2.144129992
320,7995464,-89.81535,29.25061667,0,3.075400114,0,0,0,0,0,0.940999985
321,7995464,-92.90913273,29.24986386,0,0,0,0,0.759720027,0,0.231749997,0.239800006
322,7995464,-89.65518189,29.24939492,0,0.932500005,0,0,0,0,0,1.348999977
