Rowid,AS_LOCATIONS2011,X,Y,A2011175_chloro,A2011176_chloro,A2011177_chloro,A2011178_chloro,A2011179_chloro,A2011180_chloro,A2011181_chloro,A2011182_chloro
88,1985192381,-93.85798272,29.58786667,0,0,0,0,28.75921059,50.90502167,34.23394012,0
89,1985192381,-92.90676667,29.58628333,0,0,0,0,0,0,26.56340027,0
90,1985192381,-92.9106231,29.58136236,0,0,0,0,0,11.07374001,12.96685028,5.26556015
91,1985192381,-92.14313333,29.5771,0,0,0,0,0,0,0,0
92,1985192381,-92.14791667,29.57703333,0,0,0,0,0,0,0,0
93,1985192381,-92.90935574,29.57561339,0,0,0,0,0,11.07374001,12.96685028,5.26556015
94,1985192381,-92.5749,29.57551667,0,0,0,0,0,0,0,0
95,1985192381,-92.91025529,29.57409753,0,0,0,0,0,11.07374001,12.96685028,5.26556015
96,1985192381,-91.64011667,29.57325,0,0,0,0,0,0,0,0
97,1985192381,-92.55830077,29.57144729,0,0,0,0,0,0,0,0
98,1985192381,-92.60013333,29.57108333,0,0,0,0,0,0,0,0
99,1985192381,-90.79044444,29.57052222,0,0,0,0,0,0,0,0
100,1985192381,-93.85598333,29.5694,0,0,0,0,44.95351028,22.53355026,21.06208038,0
101,1985192381,-90.79552778,29.56710556,0,0,0,0,0,0,0,0
102,1985192381,-92.90685,29.5654,0,0,0,0,0,11.07374001,12.96685028,5.26556015
103,1985192381,-94.10966667,29.5653,0,0,0,0,19.64042091,19.48106956,24.47739029,0
104,1985192381,-88.26363333,29.56455,0,0,0,14.11071968,0,0,5.669370174,0
105,1985192381,-92.91063333,29.55875,0,0,0,0,0,11.07374001,12.96685028,5.26556015
106,1985192381,-92.15018333,29.5577,0,0,0,0,0,0,0,0
107,1985192381,-88.26211527,29.55542763,0,0,0,14.11071968,0,0,5.669370174,0
108,1985192381,-92.89291282,29.55458005,0,0,0,0,0,11.07374001,12.96685028,5.26556015
109,1985192381,-93.14315,29.5542,0,0,0,0,12.02270985,12.67597961,12.82110023,10.18735027
110,1985192381,-93.85536667,29.55151667,0,0,0,0,44.95351028,22.53355026,21.06208038,0
111,1985192381,-88.26556904,29.54656707,0,0,0,14.11071968,0,0,5.669370174,0
112,1985192381,-92.91180538,29.54514724,0,0,0,0,0,11.07374001,12.96685028,5.26556015
113,1985192381,-92.73353333,29.54476667,0,0,0,0,0,0,32.75074005,0
114,1985192381,-91.64041667,29.54318333,0,0,0,0,0,0,0,0
115,1985192381,-92.2949,29.52955,0,0,0,0,0,0,0,0
116,1985192381,-92.91485703,29.52837469,0,0,0,0,30.29071999,10.32532978,5.114940166,2.850879908
117,1985192381,-92.91571073,29.52801342,0,0,0,0,30.29071999,10.32532978,5.114940166,2.850879908
118,1985192381,-92.6092,29.52573333,0,0,0,0,0,0,30.84737015,18.25668907
119,1985192381,-93.639,29.5237,0,0,0,0,20.81159019,59.72851944,78.08817291,33.23712921
120,1985192381,-93.639,29.5237,0,0,0,0,20.81159019,59.72851944,78.08817291,33.23712921
121,1985192381,-93.64416667,29.51948333,0,0,0,0,20.81159019,59.72851944,78.08817291,33.23712921
122,1985192381,-92.91439307,29.51674067,0,0,0,0,30.29071999,10.32532978,5.114940166,2.850879908
123,1985192381,-87.99526923,29.5162712,0,0,0,0,0,0,0,0
124,1985192381,-92.30616667,29.5122,0,0,0,0,0,0,0,0
125,1985192381,-92.61086667,29.51165,0,0,0,0,0,0,30.84737015,18.25668907
126,1985192381,-92.17213333,29.51156667,0,0,0,0,0,0,0,0
127,1985192381,-92.27428333,29.51125,0,0,0,0,0,0,0,0
128,1985192381,-92.31431667,29.5088,0,0,0,0,0,0,0,0
129,1985192381,-93.8545,29.50865,0,0,0,0,45.19749069,24.17540932,16.85243988,0
130,1985192381,-93.1383397,29.50726753,0,0,0,0,16.23175049,6.30948019,8.090220451,6.664179802
131,1985192381,-92.68808333,29.5071,0,0,0,0,0,0,16.85316086,13.7729702
132,1985192381,-91.36755,29.50461667,0,0,0,0,0,0,0,0
133,1985192381,-92.16988333,29.49835,0,0,0,0,0,0,0,0
134,1985192381,-92.61661667,29.49691667,0,0,0,0,0,0,19.97500038,10.71870041
135,1985192381,-92.91887732,29.4941918,0,0,0,0,25.63670921,8.703160286,4.409259796,1.835450053
136,1985192381,-92.17046667,29.49226667,0,0,0,0,0,0,0,0
137,1985192381,-92.1736272,29.48920363,0,0,0,0,0,0,0,0
138,1985192381,-92.32765045,29.4819597,0,0,0,0,0,0,0,0
139,1985192381,-91.49366667,29.4814,0,0,0,0,0,0,0,0
140,1985192381,-92.62274452,29.48065118,0,0,0,0,0,0,19.97500038,10.71870041
141,1985192381,-91.46838333,29.47736667,0,0,0,0,0,0,0,0
142,1985192381,-92.34966347,29.4767992,0,0,0,0,0,0,0,0
143,1985192381,-92.61052375,29.47613025,0,0,0,0,0,0,19.97500038,10.71870041
144,1985192381,-87.9965,29.47118333,0,0,0,0,0,0,0,0
145,1985192381,-91.6289,29.47045,0,0,0,0,0,0,0,0
146,1985192381,-88.80393582,29.47029848,0,20.68465042,0,12.18867016,0,0,0,0
147,1985192381,-92.32785,29.47028333,0,0,0,0,0,0,0,0
148,1985192381,-93.41702319,29.46993333,0,0,0,0,45.9054985,21.95682907,15.69021034,22.42518044
149,1985192381,-88.79612058,29.46814519,0,20.68465042,0,12.18867016,0,0,0,0
150,1985192381,-93.4135962,29.46731667,0,0,0,0,32.93777847,12.56799984,12.76056004,19.41534042
151,1985192381,-88.79228714,29.46633399,0,20.68465042,0,12.18867016,0,0,0,0
152,1985192381,-88.87001667,29.46616667,0,48.0286293,0,16.07802963,0,0,0,0
153,1985192381,-88.7834474,29.46556091,0,15.74217033,0,10.05932999,0,0,0,0
154,1985192381,-91.79695,29.4646,0,0,0,0,0,0,0,0
155,1985192381,-88.75784344,29.46331155,0,15.74217033,0,10.05932999,0,0,0,0
156,1985192381,-88.6862788,29.46158077,0,0,0,10.58520031,0,0,0,0
157,1985192381,-88.74067646,29.46154626,0,10.19468021,0,10.47492027,0,0,0,0
158,1985192381,-92.62415,29.4612,0,0,0,0,0,0,19.97500038,10.71870041
159,1985192381,-88.67620087,29.4568897,0,11.22037983,0,12.96310997,0,0,0,0
160,1985192381,-92.34561667,29.45646667,0,0,0,0,0,0,0,11.21642971
161,1985192381,-91.84448333,29.45581667,0,0,0,0,0,0,0,0
162,1985192381,-88.66385047,29.45551493,0,15.60027027,0,14.0708704,0,0,0,0
163,1985192381,-88.65567206,29.45551417,0,15.60027027,0,14.0708704,0,0,0,0
164,1985192381,-92.34923128,29.45508377,0,0,0,0,0,0,0,11.21642971
165,1985192381,-93.41883474,29.45406667,0,0,0,0,13.19083023,9.963259697,10.90993023,16.43280983
166,1985192381,-92.43470817,29.45220281,0,0,0,0,34.60720825,0,26.24607086,12.44029999
167,1985192381,-92.91612097,29.45213333,0,0,0,0,31.63467979,0,4.057179928,1.250200033
168,1985192381,-92.92034627,29.44437302,0,0,0,0,21.36063004,7.896259785,3.581180096,1.604269981
169,1985192381,-92.59065643,29.43878832,0,6.08946991,0,0,17.88927078,0,11.71998978,5.59623003
170,1985192381,-93.40673333,29.4365,0,0,0,0,13.19083023,9.963259697,10.90993023,16.43280983
171,1985192381,-93.85327762,29.43643096,0,0,0,0,8.845230103,12.67959976,21.81683922,0
172,1985192381,-88.45963333,29.43606667,0,0,9.069879532,16.5949707,0,0,0,0
173,1985192381,-88.41218122,29.43466294,0,0,0,17.17045975,0,0,0,0
174,1985192381,-93.6418,29.43423333,0,0,0,0,28.71751976,35.07926178,52.04605865,31.45359993
175,1985192381,-88.42862191,29.43421878,0,0,0,0,0,0,0,0
176,1985192381,-93.41936655,29.43372055,0,0,0,0,13.19083023,9.963259697,10.90993023,16.43280983
177,1985192381,-93.42152251,29.43362027,0,0,0,0,13.19083023,9.963259697,10.90993023,16.43280983
178,1985192381,-88.39456474,29.43353948,0,0,0,17.17045975,0,0,0,0
179,1985192381,-88.88689034,29.43337681,0,29.16486931,0,0,0,0,0,0
180,1985192381,-88.40239159,29.43203758,0,0,0,17.17045975,0,0,0,0
181,1985192381,-94.11296667,29.42856667,0,0,0,0,16.04969025,13.95328045,20.85627937,0
182,1985192381,-88.4027032,29.42803456,0,0,0,17.17045975,0,0,0,0
183,1985192381,-93.42847125,29.42745327,0,0,0,0,13.19083023,9.963259697,10.90993023,16.43280983
184,1985192381,-88.24015,29.42715,0,0,0,13.62174988,0,0,5.35807991,0
185,1985192381,-93.40412041,29.42694246,0,0,0,0,13.19083023,9.963259697,10.90993023,16.43280983
186,1985192381,-88.38642811,29.42665,0,0,0,17.17045975,0,0,0,0
187,1985192381,-89.58300556,29.42561111,0,0,0,29.00097084,0,0,0,0
188,1985192381,-92.57120249,29.42411771,0,7.017869949,0,0,21.71545982,0,16.9821701,8.912949562
189,1985192381,-88.30336667,29.42381667,0,0,0,12.79288006,0,0,5.843550205,0
190,1985192381,-92.57365158,29.42326886,0,7.017869949,0,0,21.71545982,0,16.9821701,8.912949562
191,1985192381,-88.24138333,29.41961667,0,0,0,13.62174988,0,0,5.35807991,0
192,1985192381,-92.63955312,29.41316636,0,0,0,0,0,0,5.161369801,1.873039961
193,1985192381,-92.36111712,29.41293862,0,6.045370102,0,0,40.99626923,0,52.6991806,8.615340233
194,1985192381,-88.88250893,29.41257585,0,24.67700005,0,0,0,0,0,0
195,1985192381,-89.59881111,29.41132222,0,0,0,0,0,0,0,0
196,1985192381,-92.55671667,29.4098,0,6.168859959,0,0,18.07354927,0,10.09237957,4.116380215
197,1985192381,-92.91422803,29.40842224,0,0,0,0,21.17188072,8.09321022,3.397089958,1.79756999
198,1985192381,-93.13912568,29.40772245,0,0,0,0,10.18297005,2.819849968,4.71928978,4.151249886
199,1985192381,-92.91977106,29.40462889,0,0,0,0,21.04393959,6.470260143,3.27628994,2.117799997
200,1985192381,-90.35611667,29.40436667,0,0,0,0,0,0,0,0
201,1985192381,-93.4027,29.40195,0,0,0,0,9.562109947,4.626760006,5.446899891,13.41483021
202,1985192381,-93.64276667,29.40085,0,0,0,0,20.01185989,18.12731934,68.25993347,0
203,1985192381,-92.02931667,29.39991667,0,0,0,0,0,0,88.35133362,0
204,1985192381,-92.38669014,29.39786731,0,6.045370102,0,0,40.99626923,0,52.6991806,8.615340233
205,1985192381,-91.55646667,29.39761667,0,0,0,0,0,0,0,0
206,1985192381,-93.64285,29.39756667,0,0,0,0,20.01185989,18.12731934,68.25993347,0
207,1985192381,-92.34321679,29.39752609,0,6.045370102,0,0,40.99626923,0,52.6991806,8.615340233
208,1985192381,-92.44414588,29.39240314,0,6.162700176,0,0,53.78813171,0,18.32140923,8.494689941
209,1985192381,-92.64561836,29.39121711,0,0,0,0,0,0,5.161369801,1.873039961
210,1985192381,-93.62752186,29.38504257,0,0,0,0,20.01185989,18.12731934,68.25993347,0
211,1985192381,-88.86563785,29.38429427,0,21.63190079,0,0,0,0,0,0
212,1985192381,-92.77357152,29.38271343,0,0,0,0,0,0,4.323490143,1.504510045
213,1985192381,-92.94012215,29.38256831,0,0,0,0,21.04393959,6.470260143,3.27628994,2.117799997
214,1985192381,-92.71584901,29.38003548,0,0,0,0,0,0,4.456439972,1.72002995
215,1985192381,-93.67427496,29.37594916,0,0,0,0,19.59291077,18.83156967,0,0
216,1985192381,-92.52154348,29.37556415,0,6.420810223,0,0,20.26428032,0,11.28396988,5.153729916
217,1985192381,-92.57045,29.37538333,0,6.168859959,0,0,18.07354927,0,10.09237957,4.116380215
218,1985192381,-92.26771667,29.37175,0,6.291739941,0,0,0,0,0,12.69295979
219,1985192381,-92.50883479,29.37145151,0,5.994420052,0,0,20.5596199,0,11.44209957,2.659019947
220,1985192381,-93.66209797,29.36950915,0,0,0,0,16.11193085,7.492939949,14.61242008,22.6058197
221,1985192381,-93.64742,29.36720978,0,0,0,0,16.11193085,7.492939949,14.61242008,22.6058197
222,1985192381,-93.64366667,29.36415,0,0,0,0,16.11193085,7.492939949,14.61242008,22.6058197
223,1985192381,-93.82279171,29.36379916,0,0,0,0,9.697440147,10.78614998,13.56933975,0
224,1985192381,-92.50219076,29.36237404,0,5.994420052,0,0,20.5596199,0,11.44209957,2.659019947
225,1985192381,-92.15915742,29.36196971,0,0,0,0,0,0,0,74.5218277
226,1985192381,-92.96282012,29.36150668,0,0,0,0,19.1388607,7.271820068,3.296220064,2.323460102
227,1985192381,-91.4152008,29.35978566,0,0,0,0,0,0,0,0
228,1985192381,-92.49117721,29.35959585,0,5.824930191,0,0,36.85306168,0,14.65369034,4.223070145
229,1985192381,-92.18758333,29.3547,0,0,0,0,0,0,0,30.76288986
230,1985192381,-94.10915,29.35353333,0,0,0,0,5.644239902,4.191800117,7.062079906,0
231,1985192381,-92.36595223,29.35005177,0,6.309649944,0,0,0,0,0,10.20096016
232,1985192381,-88.89825626,29.34774595,0,18.3562603,6.91204977,0,0,0,0,0
233,1985192381,-92.48055013,29.34766466,0,5.824930191,0,0,36.85306168,0,14.65369034,4.223070145
234,1985192381,-93.67502496,29.34671582,0,0,0,0,19.6149292,14.09753036,16.14513969,0
235,1985192381,-92.65476667,29.34046667,0,0,0,0,12.52377987,0,4.515460014,1.848170042
236,1985192381,-92.92661667,29.33883333,0,0,0,0,19.1388607,7.271820068,3.296220064,2.323460102
237,1985192381,-93.69093613,29.33675733,0,0,0,0,19.6149292,14.09753036,16.14513969,0
238,1985192381,-93.66758963,29.33649501,0,0,0,0,19.6149292,14.09753036,16.14513969,0
239,1985192381,-93.66291464,29.33644249,0,0,0,0,16.11193085,7.492939949,14.61242008,22.6058197
240,1985192381,-92.39605253,29.33638221,0,0,0,0,22.30199051,0,56.49214935,7.431159973
241,1985192381,-93.85325,29.33188333,0,0,0,0,5.52271986,4.177130222,3.615839958,0
242,1985192381,-92.66013333,29.33186667,0,0,0,0,14.0413599,0,7.575799942,1.778749943
243,1985192381,-92.26172178,29.330869,0,5.995820045,0,0,0,0,0,16.05497932
244,1985192381,-91.42166667,29.33046667,0,0,0,0,0,0,0,0
245,1985192381,-91.37131667,29.32966667,0,0,0,0,0,0,0,0
246,1985192381,-92.45316667,29.32715,0,7.166590214,0,0,39.40628052,0,14.99888039,5.140439987
247,1985192381,-91.78691667,29.32658333,0,0,0,0,0,16.86444092,0,0
248,1985192381,-92.47886148,29.32576017,0,0,0,0,23.07434082,0,12.5232296,2.78215003
249,1985192381,-92.35726696,29.32113435,0,0,0,0,0,0,79.62322235,9.352519989
250,1985192381,-92.93034891,29.31927022,0,0,0,0,18.44547081,16.15101051,0,3.175719976
251,1985192381,-93.40138127,29.3174538,0,0,0,0,8.966609955,5.01598978,3.765899897,7.365109921
252,1985192381,-92.24071667,29.31345,0,5.995820045,0,0,0,0,0,16.05497932
253,1985192381,-93.40516405,29.31342141,0,0,0,0,8.966609955,5.01598978,3.765899897,7.365109921
254,1985192381,-92.43368333,29.31255,0,7.166590214,0,0,39.40628052,0,14.99888039,5.140439987
255,1985192381,-91.79977365,29.31049516,0,0,0,0,0,17.89648056,0,0
256,1985192381,-93.85295,29.30706667,0,0,0,0,5.52271986,4.177130222,3.615839958,0
257,1985192381,-93.64906222,29.30646035,0,0,0,0,13.69985008,10.16792011,9.826189995,19.1906395
258,1985192381,-92.93452241,29.30631979,0,0,0,0,18.44547081,16.15101051,0,3.175719976
259,1985192381,-91.62508027,29.29871297,0,0,0,0,0,0,86.75861359,0
260,1985192381,-92.37262448,29.29777239,0,0,0,0,0,0,79.62322235,9.352519989
261,1985192381,-91.44686023,29.29625978,0,0,0,0,0,0,0,0
262,1985192381,-92.23803333,29.29518333,0,5.995820045,0,0,0,0,0,16.05497932
263,1985192381,-92.40085794,29.29493034,0,6.013949871,0,0,23.70273018,0,23.22654915,7.206359863
264,1985192381,-92.2521,29.29441667,0,5.995820045,0,0,0,0,0,16.05497932
265,1985192381,-93.6675063,29.29426168,0,0,0,0,12.29106998,11.45611954,8.368590355,18.93927002
266,1985192381,-92.25681667,29.29253333,0,5.995820045,0,0,0,0,0,16.05497932
267,1985192381,-88.90599966,29.29138371,0,0,9.190210342,0,0,0,0,0
268,1985192381,-92.26013333,29.2909,0,6.565609932,0,0,0,0,0,27.30668068
269,1985192381,-93.40697502,29.29049703,0,0,0,0,8.24271965,5.505109787,3.362070084,5.200590134
270,1985192381,-92.91881465,29.28968311,0,0,0,0,14.27787018,0,3.126620054,5.362569809
271,1985192381,-92.26283333,29.28945,0,6.565609932,0,0,0,0,0,27.30668068
272,1985192381,-93.1462,29.28906667,0,0,0,0,6.880859852,5.838500023,3.566890001,2.180919886
273,1985192381,-92.38691762,29.28841619,0,5.727359772,0,0,29.74061966,0,22.79958916,8.996239662
274,1985192381,-92.92385785,29.28694057,0,0,0,0,14.27787018,0,3.126620054,5.362569809
275,1985192381,-92.26856667,29.28551667,0,6.565609932,0,0,0,0,0,27.30668068
276,1985192381,-89.67787258,29.28479797,0,13.98888016,0,0,0,0,0,0
277,1985192381,-92.27098333,29.28341667,0,6.565609932,0,0,0,0,0,27.30668068
278,1985192381,-92.24074857,29.28304743,0,7.163219929,0,0,0,0,0,52.8024292
279,1985192381,-92.40125288,29.28275497,0,5.727359772,0,0,29.74061966,0,22.79958916,8.996239662
280,1985192381,-91.81891667,29.2807,0,0,0,0,41.98387146,26.83666039,19.17333984,0
281,1985192381,-93.69141947,29.280624,0,0,0,0,9.243550301,9.221280098,8.703920364,18.71286011
282,1985192381,-92.27431667,29.28048333,0,6.565609932,0,0,0,0,0,27.30668068
283,1985192381,-92.23705076,29.28046594,0,7.163219929,0,0,0,0,0,52.8024292
284,1985192381,-93.67585829,29.28044916,0,0,0,0,9.243550301,9.221280098,8.703920364,18.71286011
285,1985192381,-93.65804697,29.28024903,0,0,0,0,7.565849781,6.393949986,8.028229713,18.28721046
286,1985192381,-92.21371023,29.27871598,0,7.163219929,0,0,0,0,0,52.8024292
287,1985192381,-92.92531667,29.27783333,0,0,0,0,14.27787018,0,3.126620054,5.362569809
288,1985192381,-89.79755,29.27656667,0,41.74425125,0,0,0,0,0,13.94536972
289,1985192381,-93.41590472,29.27622653,0,0,0,0,8.24271965,5.505109787,3.362070084,5.200590134
290,1985192381,-92.92796667,29.27226667,0,0,0,0,14.27787018,0,3.126620054,5.362569809
291,1985192381,-92.24465604,29.27183812,0,7.163219929,0,0,0,0,0,52.8024292
292,1985192381,-92.41109409,29.27028779,0,5.727359772,0,0,29.74061966,0,22.79958916,8.996239662
293,1985192381,-92.38955567,29.27017635,0,5.727359772,0,0,29.74061966,0,22.79958916,8.996239662
294,1985192381,-89.6372,29.2695,0,0,0,0,0,0,0,0
295,1985192381,-92.67261074,29.26920806,0,0,0,0,14.86540031,0,4.692940235,1.665199995
296,1985192381,-93.40995629,29.26884807,0,0,0,0,8.24271965,5.505109787,3.362070084,5.200590134
297,1985192381,-92.33713397,29.2683059,0,7.477340221,0,0,0,0,79.95651245,9.885609627
298,1985192381,-92.28141667,29.26818333,0,6.565609932,0,0,0,0,0,27.30668068
299,1985192381,-89.65623333,29.26781667,0,0,0,0,0,0,0,0
300,1985192381,-92.28537347,29.26736731,0,6.565609932,0,0,0,0,0,27.30668068
301,1985192381,-89.82163333,29.2662,0,41.74425125,0,0,0,0,0,13.94536972
302,1985192381,-92.67482749,29.26513756,0,0,0,0,14.86540031,0,4.692940235,1.665199995
303,1985192381,-92.3717179,29.2644053,0,7.477340221,0,0,0,0,79.95651245,9.885609627
304,1985192381,-92.91238869,29.26363896,0,0,0,0,14.44756985,0,4.170539856,2.614700079
305,1985192381,-88.9015,29.26341667,0,0,9.190210342,0,0,0,0,0
306,1985192381,-93.64475,29.26103333,0,0,0,0,7.565849781,6.393949986,8.028229713,18.28721046
307,1985192381,-89.64300927,29.25990027,0,0,0,0,0,0,0,0
308,1985192381,-93.40788333,29.25968333,0,0,0,0,8.24271965,5.505109787,3.362070084,5.200590134
309,1985192381,-92.41690191,29.25956721,0,6.733029842,0,0,35.31124115,0,15.44620991,6.866909981
310,1985192381,-91.64586667,29.25908333,0,0,0,0,0,0,0,25.83061028
311,1985192381,-92.23707004,29.2589173,0,7.163219929,0,0,0,0,0,52.8024292
312,1985192381,-92.25126259,29.25820346,0,6.565609932,0,0,0,0,0,27.30668068
313,1985192381,-92.93566667,29.25768333,0,0,0,0,14.27787018,0,3.126620054,5.362569809
314,1985192381,-94.10941117,29.25676667,0,0,0,0,4.569240093,2.586299896,3.020960093,0
315,1985192381,-91.30473333,29.25505,0,0,0,0,0,0,0,0
316,1985192381,-88.88006386,29.25411606,0,0,9.190210342,0,0,0,0,0
